"Fecha","real","pronostico"
2025-10-15,-0.00865209130480693,0.0020577764877557
2025-10-16,-0.00747055615961045,-0.00934559048889587
2025-10-20,0.00692546218562029,0.0100777786502767
2025-10-21,6.44018676769775e-05,-0.0046197229208528
2025-10-22,0.00704620190480654,0.00741330362724257
2025-10-23,-0.00793530161486267,-0.0193523592095095
2025-10-27,-0.0103898327001879,0.0154373542326999
2025-10-28,0.00134564974782414,-0.00404744582195502
2025-10-29,0.0113413508131437,0.00662030703324718
2025-10-30,-0.00301936043320872,0.00502660556002273
2025-10-31,-0.00447365669115385,-0.00471002301106126
2025-11-03,-0.0129779455322154,-0.00315151650805857
2025-11-04,0.0120834167743276,-0.0100078773499649
2025-11-05,0.00135834816459557,-0.00488802758146596
2025-11-06,-0.00714679397146156,-0.0077925297364847
2025-11-07,-0.0127612960191499,0.00938216356211554
2025-11-10,-0.0125098269162098,-0.00347654135873319
2025-11-11,0.00396958929493962,0.0070953905162219
