"Fecha","Residual"
2025-07-01,-1.58164483151958
2025-07-02,-1.00730002765704
2025-07-03,-0.40762628900445
2025-07-08,0.517284913595584
2025-07-09,-1.26147327257438
2025-07-10,-0.38912469893251
2025-07-14,0.041880712270689
2025-07-15,0.419531857842066
2025-07-16,-0.309829704979532
2025-07-17,-0.329415871732035
2025-07-21,1.60363957627602
2025-07-22,2.05281796272632
2025-07-23,-1.99134363256322
2025-07-24,0.777081112238351
2025-07-28,1.4215820909186
2025-07-29,-1.69923192863514
2025-07-30,1.18482255260614
2025-07-31,-0.620159929253372
2025-08-04,0.159085042864
2025-08-05,4.56658011093214
2025-08-06,-1.83897091023807
2025-08-07,1.325485977618
2025-08-11,-0.122777863598321
2025-08-12,1.40592291517503
2025-08-13,0.278925898503016
2025-08-14,-0.226948218215353
2025-08-18,-0.226350804796216
2025-08-19,0.0885422206032326
2025-08-20,0.114350780578012
2025-08-21,0.0455031641498232
2025-08-25,-0.0416470586818778
2025-08-26,0.0385459565124189
2025-08-27,0.0566071925869414
2025-08-28,0.0124255009103692
2025-09-02,0.00893366825083115
2025-09-03,0.000202348661176849
2025-09-04,0.0114453743037204
2025-09-08,0.00811035028590922
2025-09-09,0.00154222913664642
2025-09-10,-0.000265188599171732
2025-09-11,0.00265109771034633
